GameID,Transformer_Color,PGN,NumMoves,Result
33,White,1.d4 Nf6 2.e3 a5 3.c4 Ra7 4.Nc3 Ne4 5.Bd3 f6 6.Nf3 h6,7,*
34,Black,1.b4 d5 2.Ba3 Nf6 3.d3 e6 4.Nf3 Bd6 5.d4 g6 6.Nc3 e5 7.Qd3,7,*
35,White,1.d4 Na6 2.c4 c6 3.e3 b6 4.Nf3 Nc7 5.Be2 f5,6,*
36,Black,1.a3 e5 2.a4 d6 3.d4 Nf6 4.a5 a6 5.f4 h6 6.g4 c6 7.Bg2 Nd5 8.Kf2 Nf4 9.b3 d5 10.c4,10,*
37,White,1.e4 h5 2.Nf3 g6 3.Bc4 d5 4.d4 dxe4 5.Bg5 c5 6.Be6 h4 7.Qd2 Nf6 8.c3 cxd4 9.cxd4+ Nh5 10.a4 h3 11.Qd3 a6,12,*
38,Black,1.h3 e5 2.c4 d6 3.Nf3 c6 4.d3 Nf6 5.a3 Be7 6.Qb3 e4 7.Qd1 h5 8.Nd4 d5 9.Qa4,9,*
39,White,1.d4 b6 2.Bf4 Nc6 3.e3 e6 4.Nf3 Nxd4 5.Nxd4 f5 6.Be2 Kf7 7.Bc4 Bb4+,8,*
40,Black,1.f3 Nf6 2.c3 g6 3.e4 d5 4.h3 Nc6 5.a3 h6 6.Bb5 a5 7.Ra2,7,*
41,White,1.Nf3 h5 2.g3 c5 3.d4 g6 4.Bg2 b6 5.e3 d6 6.e4 h4 7.Rg1 Rh7 8.h3 d5 9.g4 Nc6 10.Ne5 Bg7 11.c4 Nxd4,12,*
42,Black,1.f4 d5 2.e3 c6 3.e4 e6 4.d3 h6 5.Qe2 g5 6.Nh3 Qxf6 7.c4 a6 8.c5 b5 9.a3,9,*
43,White,1.b3 d6 2.Bb2 b6 3.g3 c5 4.Bg2 Nd7 5.Nf3 g6 6.e4 Rb8,7,*
44,Black,1.f4 c6 2.Na3 d5 3.b3 e6 4.h4 b6 5.f5 e5 6.Nb1,6,*
45,White,1.d4 h5 2.Nf3 b6 3.g3 d6 4.Bg2 e5 5.e3 Be6 6.Nc3 Nh6 7.Qe2 Qg5 8.Rf1 b5,9,*
46,Black,1.b3 c6 2.a3 d5 3.f3 Bf5 4.f4 Be6 5.h4 Nf6 6.b4,6,*
47,White,1.e4 Nf6 2.d4 h6 3.c4 Ng8 4.d5 Na6 5.e5 g6 6.Nd2 h5,7,*
48,Black,1.a4 c5 2.d4 cxd4 3.e3 Nc6 4.Qh5 e6 5.Qxh7 Qe7 6.Qxg7 Nf6 7.h4 Qd6 8.Qh7 Qc5 9.Qxh8,9,*
49,White,1.d4 h6 2.e3 f5 3.c4 g5 4.Nf3 c5 5.Bd3 Qc7 6.Nc3 b6 7.Ne5 Qd6 8.Ne4 Na6 9.h3 Qxe5,10,*
50,Black,1.d3 e6 2.Bg5 Nf6 3.e3 Be7 4.Ke2,4,*
