GameID,Transformer_Color,PGN,NumMoves,Result
24,Black,1.b4 d5 2.c3 Nc6 3.e3 Bf5 4.Bd3 e6 5.Kf1 Ngf6 6.h4 Ne4 7.g4 Be7 8.Bb2 Qd7 9.Qa4,9,*
25,White,1.e4 Na6 2.d4 h5 3.Nf3 Nc5 4.Be2 Na4,5,*
26,Black,1.d4 Nf6 2.Bh6 g6 3.Bc1 Bg7 4.c3 d6 5.Be3,5,*
27,White,1.d4 Na6 2.d5 e5 3.e4 g5 4.d6 Bxd6 5.c3 Ke7 6.a4 Nb4 7.b3 Rb8,8,*
28,Black,1.f4 c6 2.b3 d5 3.Nh3 e6 4.Ng1 e5 5.c3 Be6 6.b4 a6 7.Qb3 a5 8.fxe5 Be7 9.Kd1 f6 10.Nf3,10,*
29,White,1.e4 b5 2.Nf3 Na6 3.Bc4 d5 4.c3 Nb4 5.e5 Nc2+ 6.Kf1 e6 7.Bd3 Bb7 8.g4 Qb8,9,*
30,Black,1.g4 Nf6 2.e3 c5 3.Qe2 d5 4.f3 e6 5.a3 Nc6 6.Qd1 Be7 7.f4 Bd6 8.h3 g6 9.Nf3 e5 10.f5 Ke7 11.fxg6 fxg6 12.Nd4 Nd4+ 13.b3 b5 14.Bc4 Ke6 15.O-O,15,*
31,White,1.d4 Nh6 2.Nf3 Nf5 3.e3 d6 4.Nc3 Be6 5.Be2 a5 6.Bd3 g6,7,*
32,Black,1.a3 e5 2.h4 Be7 3.Nf3 Nf6 4.c3 Nc6 5.d3 e4 6.Rh3 Nxe5 7.Bd2 Nf3 8.exf3 exf3+ 9.Qb3 d5 10.Be3 Bg4 11.Bc1 h5 12.a4,12,*
33,White,1.c4 e6 2.Nc3 g6 3.Nf3 f5 4.g3 Qg5 5.Bg2 Qe7 6.e3 b5 7.Nxe4 a6 8.Nc3 Kf7 9.Ke2 h5 10.e4 Qa3 11.c5 Nh6,12,*
34,Black,1.Na3 d5 2.c4 c6 3.e4 Nf6 4.Rb1 b6 5.Qb3 Bb7 6.Qc2 e6 7.Ne2 Be7 8.Nc3 b5 9.Nd1 Bc5 10.Be2 Bxf2 11.Nxf2 h5 12.Rf1,12,*
35,White,1.Nc3 Nc6 2.g3 e5 3.Bg2 Qf6 4.e4 Nh6,5,*
36,Black,1.c4 g6 2.b4 Bg7 3.d3 d6 4.Be3 e6 5.Bc1 Nf6 6.a3 c6 7.Qc2 Nxe4 8.h3 Kd7 9.c5 Ng5 10.Rh2 e5 11.Bf4,11,*
37,White,1.g3 c5 2.Bg2 Na6 3.f3 Qb6 4.d3 g6 5.e4 Nb4 6.c3 e5 7.a3 Nxd3+ 8.Kxd2 Nf6,9,*
38,Black,1.Na3 e5 2.Rb1 d5 3.d3 Nf6 4.c3 Nc6 5.Nc4 Kd7 6.e4 Nxe4 7.Nd2 Nd2 8.Qf3 e4 9.Qxe4 Rg8 10.Qa4,10,*
39,White,1.e4 e5 2.Nf3 h5 3.Bc4 Rh6 4.d4 Ne7 5.Be6 Nbc6,6,*
40,Black,1.a3 e5 2.Ra2 Nf6 3.e3 Nc6 4.Ne2 e4 5.a4 a6 6.d3 Nd5 7.h3,7,*
41,White,1.Nc3 c5 2.Nf3 h6 3.g3 c4 4.Bg2 Qa5 5.d3 Qd8 6.e3 d5 7.a3 e6 8.Qe2 Bd7 9.d4 Qh4,10,*
42,Black,1.f3 e5 2.h4 Nf6 3.g4 Ng4 4.c4 d5 5.h5 Bf5 6.e4 Bb4 7.Qb3 Bxc3 8.Be2,8,*
43,White,1.d4 a6 2.c4 c6 3.Nf3 b6 4.Nc3 Nh6 5.b3 f5 6.Bg5 a5 7.e3 Na6 8.Be2 Ra7 9.e4 fxe4 10.Nxe4 Ra8,11,*
44,Black,1.Nc3 e5 2.e3 Nc6 3.Nf3 Nf6 4.g4 Bc5 5.g5 b6 6.gxf6 b5 7.Nh4 g5 8.Nd5 g4 9.Nxc7+,9,*
45,White,1.e4 Nf6 2.d4 d6 3.Nc3 c5 4.d5 h5 5.Be3 Qb6 6.Nge2 Bh3 7.g3 e6 8.Bd2 Rg8 9.g4 Kd7,10,*
46,Black,1.Na3 e5 2.Nf3 d5 3.h3 c6 4.b4 h6 5.Bb2 Nd7 6.Nd4 h5 7.f4 g5 8.Nf3 e4 9.Nc4 b5 10.Bxh8 Bxh6 11.Rg1 Ne5 12.Ne3 Nf6 13.Rc1,13,*
47,White,1.c4 f6 2.Nf3 g6 3.d4 f5 4.g4 h5 5.Bg2 c5 6.e3 Bg7 7.a3 Rh6 8.b3 g5 9.Bb2 hxg4 10.Ne5 Qb6,11,*
48,Black,1.Na3 c5 2.f3 Nc6 3.Nb1 g6 4.g3 Bg7 5.Nh3 d6 6.Kf2 e6 7.c4 Nf6 8.Nf4 Rg8 9.a4 Ng4 10.Ke1,10,*
49,White,1.e4 a5 2.Bc4 b6 3.d3 Ba6 4.Nf3 Bc8 5.d4 c5 6.Qe2 e5 7.Be3 Ke7 8.Nc3 exd4 9.Nxd4 Kd6 10.Nf5 Ke5 11.h4 Bb7,12,*
50,Black,1.Nf3 g6 2.Nc3 Bg7 3.Na4 d6 4.h3 h5 5.Rg1 e6 6.g4 c5 7.Bg2 d5 8.d4 Nc6 9.Bd2,9,*
