GameID,Transformer_Color,PGN,NumMoves,Result
30,Black,1.Nh3 c5 2.c3 e5 3.e4 Nc6 4.Na3 d5 5.exd5 Qd6 6.Nb5 Nf6 7.dxc6,7,*
31,White,1.d4 e6 2.Nf3 Nf6 3.c4 b6 4.Nc3 Bb4 5.Bg5 h6 6.Qd2 Bxc3 7.g4 Ba5 8.e4 Qe7,9,*
32,Black,1.Nh3 e5 2.d4 exd4 3.c3 Nf6 4.cxd4 d5 5.Ng1 Bb4 6.Nc3 Nc6 7.a3 Nd4 8.axb4,8,*
33,White,1.d4 d5 2.Bf4 e6 3.Nf3 Bd6 4.e3 Nd7 5.c4 Ngf6 6.Qe2 dxc4,7,*
34,Black,1.e4 c5 2.Nf3 d6 3.Bc4,3,*
35,White,1.d4 d5 2.Bf4 e6 3.Nf3 c5 4.Bg5 Be7 5.Be7 Qa5+ 6.c3 Kxe7 7.e4 Ke8,8,*
36,Black,1.g3 e5 2.Bg2 d6 3.d3 e4 4.dxe4,4,*
37,White,1.e4 e6 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6 5.h3 d5 6.Bg5 dxc4 7.dxc4 Qxd1+,8,*
38,Black,1.f3 c6 2.e4 Nf6 3.e5,3,*
39,White,1.e4 e6 2.Qf3 Nc6 3.c3 Nf6 4.d4 d6 5.Nge2 d5 6.e5 Nd7 7.h3 Ncxe5 8.a3 Nxf3+,9,*
40,Black,1.e3 c6 2.d4 d5 3.Nf3 Nf6 4.h3 e5 5.dxe5 Qd7 6.exf6 a5 7.Bd3 b5 8.O-O,8,*
41,White,1.e3 e5 2.Nf3 d6 3.g3 c6 4.Bg2 a5 5.b3 Be7 6.Nc3 Na6 7.b4 axb4 8.h4 f5 9.Nxe5 bxc3 10.Rxf1 Nf6 11.d4 Nb4 12.Nf3 O-O,13,*
42,Black,1.Nc3 d5 2.e4 Bf5 3.exf5 Qd6 4.g3,4,*
43,White,1.e4 c5 2.Nc3 g6 3.a3 Nc6 4.Bb5 Nf6 5.d4 Nxd4,6,*
44,Black,1.g4 c6 2.d4 e5 3.dxe5 d5 4.Bh3 c5 5.Nc3 c4 6.Qxd5 Qxd5 7.Nxd5 g6 8.Bg5,8,*
45,White,1.e4 e6 2.Nf3 c5 3.d4 d5 4.e5 Nc6 5.dxc5 Bxc5 6.Qe2 Qb6 7.Bf4 Qxb2 8.Bd2 Nge7 9.Bg5 Bb4+ 10.Kd1 Qxa1 11.a4 Qxb1+,12,*
46,Black,1.e4 e5 2.Bc4 Nc6 3.Nc3 Nf6 4.a3 a6 5.d3 Bb4 6.Bxf7+,6,*
47,White,1.d4 e6 2.Bg5 Qxg5 3.Nf3 Qe7 4.c3 d5 5.Qb3 g6 6.e4 Qd8,7,*
48,Black,1.f3 e6 2.e4 d5 3.c3 c5 4.Qa4+ Bd7 5.Qd1 Nc6 6.Nh3 Nf6 7.Nf2 a6 8.Na3 b5 9.d3 a5 10.d4,10,*
49,White,1.d4 Nf6 2.c4 e6 3.Nc3 b6 4.Bg5 Be7 5.e3 h6 6.Nd5 exd5 7.f4 Bb4+ 8.Kf2 Bb7 9.c5 Ne4+,10,*
50,Black,1.g3 e6 2.Bg2 d5 3.d3 Nc6 4.a3 Nf6 5.Nf3 b6 6.O-O a6 7.b4 Bb7 8.c4 Bb4 9.axb4 e5 10.Nc3 Ke7 11.Bg5 Rg8 12.cxd5,12,*
